rank_emul	rank_star	rank_real	rank_outdeg	rank_tweet	pagerank	pagerank(filter)	sumM_neigh	rank_out_real	rank_in_real
18022	23525	31040	19542	31710	34564	34803	19860	32756	19289
18023	17452	8493	22106	7717	7625	7628	23887	7477	5323
18024	18237	22694	16076	17814	22709	22113	14552	23366	3241
18025	20393	29821	19704	43270	24904	25175	18289	28920	24631
18026	14974	19963	18268	42553	32726	31192	19914	30981	40740
18027	24454	13496	20761	12351	9565	9317	18927	13644	11133
18028	23858	25570	16398	36018	12028	11880	15790	24777	2112
18029	30340	28660	27650	32463	30411	30565	21962	25319	19748
18030	18912	15327	28906	21188	7958	8075	29046	9782	6212
18031	30193	37001	30177	10296	41918	41714	34236	41497	15216
18032	10474	9626	16645	6631	18414	18191	17187	16801	37671
18033	24163	16985	25964	32125	12197	12066	21380	13618	3372
18034	22261	34108	17486	22063	35119	34507	15392	33111	10653
18035	23085	29514	20289	25473	23904	23592	20633	28455	12485
18036	17146	29795	29342	25507	18825	18579	35148	22714	18297
18037	23604	25383	23958	16801	27174	26727	20651	28540	22743
18038	24390	18648	42965	37112	13288	13972	45074	8945	13057
18039	18131	11821	17802	13182	6118	6275	17802	22533	21834
18040	36345	29206	31137	42307	26645	26679	26805	27738	10824
18041	23013	28124	24172	45069	24559	29475	27533	38458	43895
18042	17075	17425	19814	13093	22588	21739	21876	18932	17336
18043	20029	21776	14529	37412	10147	10169	14660	19248	6227
18044	20429	32296	15513	42871	32444	31467	14847	25956	25118
18045	27242	30236	33327	28262	29226	29362	30632	26565	9853
18046	17909	11220	14769	9774	23221	23790	16074	11698	15262
18047	26276	9755	20827	26228	3094	3607	18975	4376	19145
18048	23199	7539	23677	10025	9273	10076	22503	6139	36030
18049	18837	16942	22414	4804	34657	33595	23159	36995	43662
18050	13972	17988	20267	13060	22743	22592	23519	19090	23658
18051	20448	14116	14779	14720	17825	19034	16072	15527	20939
18052	32587	43856	34966	37051	43782	44174	37621	43426	21467
18053	25937	24383	21570	35915	28881	27888	20143	25947	25159
18054	23404	16355	16261	44315	12084	11965	14077	10542	45
18055	15455	26023	14877	3393	41485	41097	13723	40458	25141
18056	28180	34907	35505	39972	32286	32505	40970	33066	20020
18057	15370	15906	18541	16458	24490	24414	19280	18060	34448
18058	26671	41820	22876	32857	40088	40074	20673	41070	36566
18059	19765	12930	28538	8459	30745	32699	39903	25269	14223
18060	21103	13273	28996	22268	9428	10344	36925	8940	31994
18061	14794	11172	11799	10421	25409	23885	12872	20163	12057
18062	27203	22216	21648	39292	11690	11482	20364	20751	13672
18063	20944	27371	13182	33234	22868	22274	12669	20600	36512
18064	15770	5660	15851	4161	9835	10267	14316	8113	18629
18065	20870	7661	16058	17190	10272	9541	14926	8855	25083
18066	28523	18628	24614	29552	12922	13648	21782	12289	881
18067	19383	24369	14427	42798	21487	20928	12980	21720	15190
18068	38935	22693	41060	31185	27180	27015	44361	17848	27545
