rank_emul	rank_star	rank_outdeg	rank_tweet	pagerank	sumMnei
340	339	241	1146	557	236
341	549	305	11730	513	374
342	441	591	9371	542	1157
343	342	536	4900	576	658
344	366	1493	13261	884	9436
345	316	1135	5488	688	5492
346	401	423	2772	248	530
347	591	279	1682	499	294
348	368	877	4674	724	2203
349	175	170	437	195	165
350	616	1517	11257	908	9403
351	360	172	1758	308	159
352	416	1191	11944	839	7349
353	375	1433	12821	896	8648
354	550	217	5204	419	206
355	567	243	4613	538	277
356	387	1064	10893	820	3637
357	221	268	651	336	319
358	274	301	785	527	315
359	217	966	2936	405	1668
360	168	216	248	470	172
361	134	139	288	376	97
362	835	160	895	465	153
363	171	183	449	399	167
364	517	443	9341	117	588
365	457	863	7989	764	1418
366	233	221	1335	325	202
367	318	1058	3748	732	6125
368	328	441	1222	672	469
369	113	122	23	330	103
370	505	1139	9131	840	7004
371	278	290	1423	254	274
372	463	958	12228	517	4417
373	348	1353	10888	813	8767
374	308	191	3662	169	164
375	417	1062	10295	870	3434
376	250	187	6730	247	191
377	950	315	3397	416	308
378	489	569	11667	780	924
379	420	225	1063	418	162
380	354	530	2267	698	639
381	1221	406	9012	191	427
382	409	277	8006	397	289
383	291	911	3937	547	4508
384	144	146	448	288	73
385	509	377	5082	660	381
386	444	202	1409	476	133
387	414	163	704	372	102
388	378	1099	10598	738	6843
389	614	235	6194	327	225
390	418	410	11625	537	521
391	930	546	6925	593	801
392	341	258	1567	609	271
393	684	435	10020	697	858
394	569	271	543	390	318
395	641	232	4387	320	169
396	516	328	4626	404	284
397	268	425	450	411	467
398	912	282	6055	72	275
399	613	1371	10731	902	8598
400	698	1430	12486	907	9165
401	766	1015	11457	705	2811
402	461	937	4001	852	1637
403	407	989	10475	810	5738
404	397	1188	2499	696	5398
405	331	1001	2732	775	5838
406	492	333	4571	398	293
407	421	570	4778	778	641
408	493	420	5856	391	644
409	446	834	5013	622	1970
410	399	961	7580	467	1808
411	851	223	5295	565	213
412	462	1523	11945	999	8398
413	294	224	2810	461	175
414	432	777	2682	911	1000
415	606	619	11464	912	994
416	435	246	5167	415	195
417	922	272	5084	594	257
418	1230	399	7712	646	810
419	513	516	7173	795	745
420	471	654	4418	829	1004
421	768	324	9008	617	366
422	565	1753	8682	1027	9770
423	598	915	13076	1111	5599
424	394	1520	9339	850	4585
425	494	213	5402	401	152
426	470	1799	12135	1068	9769
427	468	230	5505	158	192
428	286	359	8582	221	324
429	207	208	883	519	140
430	427	1715	13380	916	9582
431	499	495	7042	686	710
432	732	505	11398	581	504
433	448	203	4119	466	212
434	593	1599	4934	909	8115
435	634	750	13328	833	1109
436	723	262	1611	580	263
437	232	199	831	226	147
438	330	212	1980	324	171
439	636	416	5458	603	584
440	320	177	994	333	131
441	464	1374	12993	906	8524
442	460	397	5072	417	501
443	654	196	4219	360	203
444	739	543	2803	706	742
445	575	254	4033	264	233
446	473	1208	3969	878	1675
447	1291	264	6072	275	218
448	450	561	2559	94	560
449	717	705	8875	821	997
450	663	1552	10087	1092	8609
451	325	1034	4555	659	4011
452	169	267	192	494	221
453	626	641	13284	110	1035
454	501	1560	433	933	7584
455	226	347	1082	238	326
456	261	256	858	521	183
457	429	620	8850	356	981
458	415	411	4654	190	555
459	500	1668	8416	1007	9321
460	275	161	1027	357	122
461	486	1450	10944	256	8612
462	442	511	6075	432	754
463	679	490	7381	877	572
464	483	1866	13368	1070	9879
465	671	417	7803	694	455
466	379	293	1933	106	228
467	514	758	11644	508	1503
468	335	1177	12732	639	3560
469	326	237	719	481	215
470	440	288	2975	572	260
471	609	1140	5224	733	5313
472	369	220	1691	436	158
473	643	393	7997	629	363
474	506	233	3927	370	168
475	510	1304	9584	991	4820
476	526	1607	12701	1081	8883
477	754	336	520	597	364
478	386	481	2105	604	604
479	736	624	6586	890	820
480	350	239	1972	369	170
481	428	275	683	607	251
482	532	342	3017	516	329
483	243	334	315	116	300
484	580	1282	11596	1062	3233
485	596	448	3852	640	565
486	537	914	11620	849	1766
487	1070	245	9498	579	239
488	481	766	6910	271	1311
489	425	472	2539	855	607
490	449	841	3276	377	964
491	546	910	9023	863	1957
492	465	801	3928	941	1075
493	889	392	12609	389	373
494	672	261	8139	277	254
495	496	189	3930	232	151
496	644	984	10650	856	3593
497	547	1640	6129	1177	8450
498	527	1488	10687	266	6940
499	645	962	13087	867	2210
500	478	1518	11391	953	8597
501	529	1446	2915	1071	4706
502	814	1025	7888	974	4695
503	632	276	1649	249	265
504	1135	644	10465	1002	1272
505	534	809	12169	1009	5040
506	642	1482	9636	819	8608
507	512	687	7450	317	1354
508	558	2028	9907	1202	9649
509	208	270	400	395	270
510	206	310	1743	192	262
511	474	981	1320	977	1871
512	241	296	778	222	238
513	267	363	493	463	343
514	807	1013	7011	1129	1093
515	562	1432	9964	957	8054
516	710	309	6960	584	280
517	487	1434	13501	986	8251
518	944	2018	9134	1197	9952
519	376	805	684	788	1183
520	603	1350	10611	883	3868
521	686	791	6634	895	1007
522	234	251	272	414	177
523	467	953	7298	956	2240
524	647	532	11143	460	561
525	1393	1620	2894	1180	4744
526	504	238	3215	355	180
527	574	351	5257	533	409
528	628	704	10683	729	2109
529	179	340	246	500	347
530	515	1367	7907	1075	5166
531	475	284	1549	571	237
532	1823	742	12527	1098	1833
533	582	1643	11809	1109	6209
534	304	497	170	930	472
535	1148	384	4911	375	367
536	298	354	841	483	261
537	803	2010	9547	1255	8577
538	1041	507	3146	752	1119
539	622	2115	13191	1273	9973
540	456	297	269	591	256
541	543	1548	10840	1089	8541
542	637	614	4955	687	778
543	542	312	3675	451	320
544	367	445	3032	82	505
545	479	353	2139	691	303
546	784	480	7227	627	577
547	683	2111	8857	1306	9840
548	557	2190	13165	786	10179
549	886	1201	9656	1221	5271
550	430	227	1071	452	181
551	765	274	2471	437	190
552	545	941	9070	781	1772
553	183	219	72	421	113
554	809	360	7564	524	313
555	692	1867	11964	1127	9693
556	592	2024	10358	1218	9808
557	453	1807	10495	767	9437
558	422	257	460	605	154
559	338	240	113	475	141
560	918	541	9190	577	650
561	488	325	1210	144	285
562	819	1084	6955	1205	2483
563	662	447	3151	570	566
564	824	1666	11697	1064	9404
565	438	1116	2049	1047	2586
566	653	703	10520	842	1513
567	1102	574	9748	970	541
568	568	1865	13190	971	9036
569	584	1487	9362	998	8344
570	1173	1784	8085	1250	7985
571	1115	2187	10632	1256	10214
572	633	2312	8428	1351	10343
573	485	1097	6498	633	2316
574	374	380	2083	303	378
575	563	551	934	553	631
576	612	706	1523	868	695
577	990	509	815	438	741
578	697	1047	8011	1140	1115
579	822	553	7523	773	485
580	802	2112	10822	1304	9771
581	618	1661	3533	1254	2927
582	623	1546	9152	1017	3463
583	202	168	714	366	95
584	708	1187	9815	1178	3817
585	490	571	3865	433	601
586	793	738	5986	151	1154
587	657	2294	13354	1352	10184
588	553	1714	11701	1088	9515
589	853	1765	13529	1396	8144
590	821	379	7473	143	375
591	1926	303	5912	700	273
592	577	741	8729	865	870
593	585	2033	10005	1230	9692
594	395	522	1154	598	629
595	405	313	712	710	323
596	798	975	8447	1145	1682
597	615	1969	11544	1295	9360
598	777	369	3246	806	357
599	806	308	5424	631	246
600	635	514	1153	550	510
601	552	1864	11844	334	9620
602	502	524	2230	212	486
603	695	1963	11307	1311	9007
604	956	1972	12929	1280	9323
605	694	2540	13409	1451	10394
606	158	314	90	471	184
607	702	902	8674	1005	1217
608	631	1909	7919	1252	6179
609	701	1018	5108	1176	2030
610	682	2180	12278	1247	10077
611	651	2109	10610	503	9065
612	1056	405	4758	782	385
613	745	404	4044	801	444
614	1363	1743	6205	1207	6471
615	677	2027	10508	1365	4588
616	365	640	1548	427	725
617	439	508	5342	63	453
618	503	1149	4749	1045	6601
619	730	1810	9997	1240	2155
620	675	2291	13041	1414	8966
621	1740	1755	8726	1458	6068
622	1282	2181	7930	1233	9543
623	1085	395	3659	652	325
624	472	331	165	676	229
625	1370	2043	10901	1480	8843
626	904	604	12857	861	746
627	133	412	38	563	384
628	1265	382	6202	207	331
629	507	372	1437	480	292
630	699	2658	11212	1483	10368
631	357	887	98	818	1423
632	817	1484	8653	1400	2490
633	293	783	3754	511	1742
634	659	921	11077	830	5633
635	891	555	10958	409	798
636	928	612	4224	1055	568
637	1003	1070	2482	1037	1145
638	656	1544	7515	1164	8146
639	772	479	416	1086	471
640	388	352	402	559	307
641	536	378	744	900	314
642	785	584	6729	995	643
643	841	1340	346	955	1607
644	937	785	9694	1300	1459
645	706	529	6047	864	482
646	1639	454	885	879	432
647	610	501	1924	641	456
648	1097	2675	11523	1488	10164
649	554	745	2065	1076	1288
650	755	1812	12834	1440	2243
651	825	446	4638	632	407
652	482	1129	2967	996	2426
653	620	1451	3996	407	4731
654	832	613	6057	843	872
655	1125	904	9323	807	1930
656	747	782	5180	1184	865
657	791	880	5573	1060	2467
