rank_emul	rank_star	rank_outdeg	rank_tweet
582	623	1546	9152
583	202	168	714
584	708	1187	9815
585	490	571	3865
586	793	738	5986
587	657	2294	13354
588	553	1714	11701
589	853	1765	13529
590	821	379	7473
591	1926	303	5912
592	577	741	8729
593	585	2033	10005
594	395	522	1154
595	405	313	712
596	798	975	8447
597	615	1969	11544
598	777	369	3246
599	806	308	5424
600	635	514	1153
601	552	1864	11844
602	502	524	2230
603	695	1963	11307
604	956	1972	12929
605	694	2540	13409
606	158	314	90
607	702	902	8674
608	631	1909	7919
609	701	1018	5108
610	682	2180	12278
611	651	2109	10610
612	1056	405	4758
613	745	404	4044
614	1363	1743	6205
615	677	2027	10508
616	365	640	1548
617	439	508	5342
618	503	1149	4749
619	730	1810	9997
620	675	2291	13041
621	1740	1755	8726
622	1282	2181	7930
623	1085	395	3659
624	472	331	165
625	1370	2043	10901
626	904	604	12857
627	133	412	38
628	1265	382	6202
629	507	372	1437
630	699	2658	11212
631	357	887	98
632	817	1484	8653
633	293	783	3754
634	659	921	11077
635	891	555	10958
636	928	612	4224
637	1003	1070	2482
638	656	1544	7515
639	772	479	416
640	388	352	402
641	536	378	744
642	785	584	6729
643	841	1340	346
644	937	785	9694
645	706	529	6047
646	1639	454	885
647	610	501	1924
648	1097	2675	11523
649	554	745	2065
650	755	1812	12834
651	825	446	4638
652	482	1129	2967
653	620	1451	3996
654	832	613	6057
655	1125	904	9323
656	747	782	5180
657	791	880	5573
658	319	292	1068
659	903	1638	8806
660	947	794	12592
661	1121	526	3724
662	700	2687	11946
663	1098	2786	11015
664	780	1395	9672
665	531	1470	1021
666	353	753	82
667	668	1227	697
668	649	345	5371
669	769	711	7313
670	361	304	703
671	215	415	240
672	411	298	1385
673	771	2408	13205
674	646	398	1591
675	602	302	312
676	770	281	3045
677	2160	2494	11107
678	242	285	65
679	640	335	3956
680	847	925	12813
681	541	366	1194
682	774	718	4469
683	743	1481	6720
684	830	1014	10524
685	800	396	5865
686	827	1813	12908
687	839	1964	8823
688	753	1393	5683
689	2065	1460	10830
690	621	1036	9926
691	977	668	5699
692	762	896	10019
693	921	793	10389
694	535	810	12197
695	508	294	1004
696	894	1519	10584
697	455	391	375
698	895	319	6637
699	719	2417	11973
700	840	2852	12959
701	1406	539	7442
702	957	401	3904
703	548	403	2023
704	3558	609	1367
705	838	2953	12106
706	731	1214	9539
707	749	1708	7014
708	530	320	1527
709	734	2192	13221
710	390	307	104
711	852	2032	10671
712	583	1561	6373
713	1123	2632	7428
714	1322	337	11157
715	988	2031	11569
716	1202	684	2701
717	863	558	6618
718	729	452	5866
719	831	2984	11395
720	790	494	5026
721	935	1329	9701
722	787	2491	6961
723	714	523	1658
724	738	715	6470
725	398	491	320
726	955	1591	10125
727	911	599	5417
728	1043	595	5740
729	1071	502	2710
730	845	2688	13423
731	332	318	392
732	938	792	2445
733	570	576	2694
734	619	813	2051
735	1276	361	9470
736	1106	1541	7176
737	909	2101	9177
738	795	997	9293
739	797	459	3205
740	664	1914	8406
741	704	607	3206
742	1139	669	2561
743	887	682	8499
744	713	386	771
745	1382	287	3272
746	776	2686	13242
747	752	2292	10843
748	775	1910	8757
749	842	3194	12946
750	945	3205	13502
751	820	402	1237
752	1007	1120	12460
753	727	765	5606
754	718	356	2546
755	1488	1833	5964
756	1049	3195	10826
757	661	329	2392
758	1044	1431	10574
759	423	626	1128
760	601	1567	5541
761	763	647	2947
762	410	429	981
763	1622	375	8689
764	691	2021	4574
765	778	1900	8620
766	163	346	17
767	861	1107	6019
768	1270	567	7189
769	630	1082	1706
770	2074	534	6022
771	850	1600	7513
772	599	278	42
773	905	2822	11165
774	2223	587	9011
775	1264	762	3665
776	1175	1243	12489
777	987	1199	4147
778	571	1908	6756
779	693	428	2618
780	1408	743	6798
781	858	326	2622
782	533	1443	497
783	1241	696	9137
784	1917	967	6985
785	860	1635	10237
786	836	1961	9737
787	214	470	62
788	2174	773	5272
789	1027	512	4786
790	437	381	262
791	856	2019	9155
792	908	1802	11194
793	767	1814	13082
794	588	585	2677
795	1151	2801	11066
796	925	1142	9881
797	901	3413	12635
798	902	3420	11606
799	900	3435	13156
800	899	3436	13218
801	589	621	6639
802	1046	2736	9457
803	660	959	9707
804	924	2999	12889
805	2417	430	602
806	2141	2679	10707
807	345	367	471
808	1422	913	4572
809	1755	1095	2440
810	1104	349	6563
811	878	950	9640
812	1084	1479	9103
813	949	823	3911
814	3567	2997	10018
815	1087	394	1426
816	579	528	4229
817	1054	802	7481
818	879	2405	12789
819	315	498	78
820	670	568	5060
821	1191	1713	9954
822	1433	3426	12818
823	808	1791	7754
824	1127	988	7915
825	907	343	1783
826	871	2264	8203
827	834	2186	8832
828	703	1134	3093
829	959	2905	10111
830	1024	436	2807
831	1022	385	3086
832	855	1152	6690
833	1415	755	9568
834	971	550	5637
835	1890	520	7123
836	1436	1369	10587
837	1315	678	3022
838	1403	458	3084
839	1495	2896	11984
840	757	727	1458
841	1203	1100	9419
842	564	400	27
843	1134	855	3721
844	1503	1141	8799
845	995	844	4966
846	1534	2194	13488
847	528	383	793
848	1307	843	8715
849	1579	449	4920
850	1028	3424	11685
851	1042	2386	12385
852	884	3010	13124
853	576	646	5816
854	826	540	3949
855	897	3201	11865
856	1065	2399	11568
857	951	3437	13266
858	655	426	1175
859	966	3623	12072
860	962	3708	8787
861	963	3713	11401
862	967	3715	12459
863	1052	3742	8900
864	872	660	2317
865	968	3752	13487
866	782	409	3650
867	1131	603	1654
868	1058	2857	13434
869	458	707	1687
870	869	1749	4666
871	705	1926	290
872	1016	2853	12982
873	1031	2832	12417
874	639	1040	4549
875	1548	849	5844
876	991	2492	10279
877	799	357	2751
878	920	2979	7592
879	996	3416	11567
880	896	518	2966
881	3501	882	9015
882	932	1145	2978
883	818	1414	4192
884	1186	556	1160
885	846	1360	2488
886	1110	650	4083
887	854	1265	8795
888	997	466	3657
889	2205	578	9129
890	1037	3736	12923
891	1025	3171	9844
892	688	358	1109
893	1947	1933	6818
894	572	1346	235
895	1079	1857	9148
896	1258	414	7784
897	1298	1623	8051
898	969	1326	10185
899	1826	2510	11260
900	756	433	2306
901	1409	560	9319
902	868	1299	2199
903	1009	3724	9924
904	597	662	4710
905	961	3165	12369
906	1066	2151	4297
907	1039	709	9244
908	1297	525	7619
909	1386	1220	9357
910	1721	3749	11942
911	605	457	781
912	538	617	138
913	1259	475	2328
914	1021	2379	4241
915	759	1669	10876
916	1308	1156	11841
917	1163	552	4209
918	1250	969	8312
919	1088	835	12167
920	498	693	364
921	371	355	1593
922	433	413	813
923	2295	653	3324
924	837	1394	6713
925	1513	729	11329
926	1095	3734	12869
927	1033	3153	8699
928	952	1568	6306
929	594	387	758
930	848	1233	2952
931	1797	2498	7226
932	870	2183	7301
933	965	3720	12534
934	906	3248	496
935	4000	3073	8062
936	1077	3197	10835
937	1486	670	1504
938	1053	1004	5668
939	1201	2750	5972
940	1047	3402	10510
941	1183	675	648
942	1117	2168	7770
943	1266	3714	11402
944	865	573	6114
945	973	2926	2926
946	1048	3958	7164
947	1606	3989	12096
948	1051	4071	6539
949	1050	4126	13412
950	1197	4116	10075
951	1181	998	11830
952	573	702	643
953	611	504	770
954	1080	1057	6196
955	1872	634	5268
956	2204	942	9625
957	1240	3292	9474
958	1312	1399	13313
959	1179	1928	4484
960	1281	427	5516
961	873	598	2280
962	1035	3191	12740
963	4254	1023	6039
964	648	535	457
965	974	1263	9765
966	1532	1913	10693
967	1045	3601	7416
968	1982	1664	10478
969	999	2836	11392
970	2189	2150	9490
971	1457	442	8284
972	1198	2680	10720
973	2349	2176	5537
974	419	873	101
975	1426	754	7676
976	1509	4125	8022
977	1439	2993	8396
978	1030	3602	1067
979	1214	566	5182
980	1010	2480	8541
981	1219	2097	12156
982	1659	761	6353
983	735	721	376
984	948	764	144
985	914	1688	3252
986	1416	3383	9175
987	892	1280	1387
988	983	1595	3591
989	1273	1370	11634
990	1405	2797	12097
991	919	2637	11017
992	1068	1041	4233
993	2240	986	2229
994	6143	2815	6293
995	1232	1221	11787
996	1023	521	3631
997	829	1261	10170
998	1412	1392	5672
